event_id,summary,description,start,end
1,운동,,2024-12-23 08:00:00,2024-12-23 11:00:00
2,공부,,2024-12-23 11:00:00,2024-12-23 12:00:00
3,점심식사,,2024-12-23 12:00:00,2024-12-23 13:00:00
4,공원,,2024-12-23 13:00:00,2024-12-23 16:00:00
5,운동,,2024-12-23 16:00:00,2024-12-23 17:00:00
6,공부,,2024-12-23 17:00:00,2024-12-23 18:00:00
7,저녁식사,,2024-12-23 18:00:00,2024-12-23 19:00:00
8,공원,,2024-12-23 19:00:00,2024-12-23 20:00:00
9,운동,,2024-12-23 20:00:00,2024-12-23 21:00:00
10,공부,,2024-12-23 21:00:00,2024-12-24 00:00:00
11,스포츠,,2024-12-24 08:00:00,2024-12-24 10:00:00
12,공부,,2024-12-24 10:00:00,2024-12-24 13:00:00
13,실내활동,,2024-12-24 13:00:00,2024-12-24 16:00:00
14,스포츠,,2024-12-24 16:00:00,2024-12-24 18:00:00
15,저녁식사,,2024-12-24 18:00:00,2024-12-24 19:00:00
16,공부,,2024-12-24 19:00:00,2024-12-24 20:00:00
17,실내활동,,2024-12-24 20:00:00,2024-12-24 22:00:00
18,스포츠,,2024-12-24 22:00:00,2024-12-25 00:00:00
19,운동,,2024-12-25 08:00:00,2024-12-25 09:00:00
20,공부,,2024-12-25 09:00:00,2024-12-25 12:00:00
21,점심식사,,2024-12-25 12:00:00,2024-12-25 13:00:00
22,공원,,2024-12-25 13:00:00,2024-12-25 16:00:00
23,운동,,2024-12-25 16:00:00,2024-12-25 19:00:00
24,공부,,2024-12-25 19:00:00,2024-12-25 21:00:00
25,공원,,2024-12-25 21:00:00,2024-12-25 23:00:00
26,운동,,2024-12-25 23:00:00,2024-12-26 00:00:00
27,스포츠,,2024-12-26 08:00:00,2024-12-26 10:00:00
28,공부,,2024-12-26 10:00:00,2024-12-26 12:00:00
29,점심식사,,2024-12-26 12:00:00,2024-12-26 13:00:00
30,실내활동,,2024-12-26 13:00:00,2024-12-26 15:00:00
31,스포츠,,2024-12-26 15:00:00,2024-12-26 17:00:00
32,공부,,2024-12-26 17:00:00,2024-12-26 18:00:00
33,저녁식사,,2024-12-26 18:00:00,2024-12-26 19:00:00
34,실내활동,,2024-12-26 19:00:00,2024-12-26 21:00:00
35,스포츠,,2024-12-26 21:00:00,2024-12-26 22:00:00
36,공부,,2024-12-26 22:00:00,2024-12-26 23:00:00
37,실내활동,,2024-12-26 23:00:00,2024-12-27 00:00:00
38,운동,,2024-12-27 08:00:00,2024-12-27 11:00:00
39,공부,,2024-12-27 11:00:00,2024-12-27 13:00:00
40,공원,,2024-12-27 13:00:00,2024-12-27 14:00:00
41,운동,,2024-12-27 14:00:00,2024-12-27 17:00:00
42,공부,,2024-12-27 17:00:00,2024-12-27 19:00:00
43,공원,,2024-12-27 19:00:00,2024-12-27 20:00:00
44,운동,,2024-12-27 20:00:00,2024-12-27 23:00:00
45,공부,,2024-12-27 23:00:00,2024-12-28 00:00:00
46,저녁식사,,2024-12-27 18:00:00,2024-12-27 19:00:00
47,스포츠,,2024-12-28 08:00:00,2024-12-28 10:00:00
48,공부,,2024-12-28 10:00:00,2024-12-28 12:00:00
49,점심식사,,2024-12-28 12:00:00,2024-12-28 13:00:00
50,실내활동,,2024-12-28 13:00:00,2024-12-28 15:00:00
51,스포츠,,2024-12-28 15:00:00,2024-12-28 18:00:00
52,저녁식사,,2024-12-28 18:00:00,2024-12-28 19:00:00
53,공부,,2024-12-28 19:00:00,2024-12-28 21:00:00
54,실내활동,,2024-12-28 21:00:00,2024-12-28 22:00:00
55,스포츠,,2024-12-28 22:00:00,2024-12-29 00:00:00
56,실내활동,,2024-12-29 08:00:00,2024-12-29 10:00:00
57,공원,,2024-12-29 10:00:00,2024-12-29 11:00:00
58,운동,,2024-12-29 11:00:00,2024-12-29 14:00:00
59,스포츠,,2024-12-29 14:00:00,2024-12-29 17:00:00
60,공부,,2024-12-29 17:00:00,2024-12-29 19:00:00
61,관람,,2024-12-29 19:00:00,2024-12-29 22:00:00
62,기타,,2024-12-29 22:00:00,2024-12-30 00:00:00
63,점심식사,,2024-12-29 12:00:00,2024-12-29 13:00:00
64,운동,,2024-12-30 08:00:00,2024-12-30 09:00:00
65,공부,,2024-12-30 09:00:00,2024-12-30 10:00:00
66,공원,,2024-12-30 10:00:00,2024-12-30 11:00:00
67,운동,,2024-12-30 11:00:00,2024-12-30 14:00:00
68,공부,,2024-12-30 14:00:00,2024-12-30 16:00:00
69,공원,,2024-12-30 16:00:00,2024-12-30 19:00:00
70,운동,,2024-12-30 19:00:00,2024-12-30 21:00:00
71,공부,,2024-12-30 21:00:00,2024-12-31 00:00:00
72,저녁식사,,2024-12-30 18:00:00,2024-12-30 19:00:00
73,스포츠,,2024-12-31 08:00:00,2024-12-31 11:00:00
74,공부,,2024-12-31 11:00:00,2024-12-31 13:00:00
75,실내활동,,2024-12-31 13:00:00,2024-12-31 14:00:00
76,스포츠,,2024-12-31 14:00:00,2024-12-31 16:00:00
77,공부,,2024-12-31 16:00:00,2024-12-31 18:00:00
78,저녁식사,,2024-12-31 18:00:00,2024-12-31 19:00:00
79,실내활동,,2024-12-31 19:00:00,2024-12-31 20:00:00
80,스포츠,,2024-12-31 20:00:00,2024-12-31 21:00:00
81,공부,,2024-12-31 21:00:00,2025-01-01 00:00:00
82,운동,,2025-01-01 08:00:00,2025-01-01 11:00:00
83,공부,,2025-01-01 11:00:00,2025-01-01 14:00:00
84,공원,,2025-01-01 14:00:00,2025-01-01 16:00:00
85,운동,,2025-01-01 16:00:00,2025-01-01 17:00:00
86,공부,,2025-01-01 17:00:00,2025-01-01 19:00:00
87,공원,,2025-01-01 19:00:00,2025-01-01 20:00:00
88,운동,,2025-01-01 20:00:00,2025-01-01 22:00:00
89,공부,,2025-01-01 22:00:00,2025-01-01 23:00:00
90,공원,,2025-01-01 23:00:00,2025-01-02 00:00:00
91,점심식사,,2025-01-01 12:00:00,2025-01-01 13:00:00
92,스포츠,,2025-01-02 08:00:00,2025-01-02 09:00:00
93,공부,,2025-01-02 09:00:00,2025-01-02 10:00:00
94,실내활동,,2025-01-02 10:00:00,2025-01-02 13:00:00
95,스포츠,,2025-01-02 13:00:00,2025-01-02 16:00:00
96,공부,,2025-01-02 16:00:00,2025-01-02 18:00:00
97,저녁식사,,2025-01-02 18:00:00,2025-01-02 19:00:00
98,실내활동,,2025-01-02 19:00:00,2025-01-02 20:00:00
99,스포츠,,2025-01-02 20:00:00,2025-01-02 23:00:00
100,공부,,2025-01-02 23:00:00,2025-01-03 00:00:00
101,운동,,2025-01-03 08:00:00,2025-01-03 10:00:00
102,공부,,2025-01-03 10:00:00,2025-01-03 13:00:00
103,공원,,2025-01-03 13:00:00,2025-01-03 14:00:00
104,운동,,2025-01-03 14:00:00,2025-01-03 17:00:00
105,공부,,2025-01-03 17:00:00,2025-01-03 18:00:00
106,저녁식사,,2025-01-03 18:00:00,2025-01-03 19:00:00
107,공원,,2025-01-03 19:00:00,2025-01-03 21:00:00
108,운동,,2025-01-03 21:00:00,2025-01-03 23:00:00
109,공부,,2025-01-03 23:00:00,2025-01-04 00:00:00
110,스포츠,,2025-01-04 08:00:00,2025-01-04 09:00:00
111,공부,,2025-01-04 09:00:00,2025-01-04 10:00:00
112,실내활동,,2025-01-04 10:00:00,2025-01-04 12:00:00
113,점심식사,,2025-01-04 12:00:00,2025-01-04 13:00:00
